graph_alias,node_id,atom_idx,is_H,q_npa,val_mayer_tot,q_hirsh,pop_mull,q_mull,q_adch,q_chelpg
C23,0,0,0,-0.3549769953027151,3.030811313841669,-0.03010505121150469,6.430582162376619,-0.2558690814701125,-0.04150101628370096,-0.2563403044224832
C23,1,1,0,-0.2339784039656083,3.951683542279125,-0.04501524017696027,6.142286629460505,-0.3129532197790059,-0.1894489960403406,-0.3042503889794118
C23,2,2,0,-0.3298038212135772,3.309328109692396,-0.0715614636380073,5.780135276973339,-0.6744440378014512,0.03660651756413594,-0.3470870863091287
C23,3,3,0,-0.3772535958220543,3.67648631022519,-0.02654198514115534,6.333714553386055,-0.07358738258868892,-0.06343867855535418,-0.3666884500240605
C23,4,4,0,-0.03610344149171453,3.661821643865561,-0.106421531280456,6.342915155530052,-0.4088077249127524,-0.308620355652522,-0.1105420590180159
C23,5,5,0,-0.2732862761399349,4.005831783737453,-0.08203157378581755,6.849130665291792,-0.6787910814094409,-0.06601828708050007,-0.01126277528452497
C23,6,6,0,-0.2433646390297364,3.466454189195383,-0.04178005001764876,6.730465467284843,-0.822823653432511,-0.2476438139025425,-0.1634888617784837
C23,7,7,0,-0.3489555147403965,4.082892058098138,-0.1064471985055624,6.392032871754362,0.2693818827399123,-0.1500173151372544,-0.1496416132802957
C23,8,8,0,-0.3729965718189346,3.734377964997241,0.03519631708201485,6.969720044997757,-0.8002261498043104,0.06009492367238226,-0.4547244096595685
C23,9,9,0,-0.293283467556211,4.486425085121333,0.02773874595811252,6.013943100274694,0.3565670302886814,-0.1838728518771222,-0.01761625015937864
C23,10,10,0,-0.491713336336778,3.233578520436597,-0.05473894699251378,6.840590354132797,0.3864126059880864,-0.179767702348774,0.02163293748846416
C23,11,11,0,-0.4646105390534724,3.253299806180941,-0.04159215722227401,6.473370760217589,0.3518109357468405,-0.1120670013164067,-0.1728808098937575
C23,12,12,0,0.001831903553490871,2.846207158250582,-0.04918027448162973,6.1113807324424,-0.568801636854951,-0.2379619690296084,0.343445879084801
C23,13,13,0,-0.1672608712632391,4.339558176491071,-0.06083107067555743,6.169786565368365,-0.1493844158924911,-0.3694351508649741,0.04578582701204308
C23,14,14,0,-0.1165150280686194,3.619389335172685,-0.07001911015759585,5.459531007066083,0.8973563155118082,-0.07192301560054172,0.2597936484206514
C23,15,15,0,-0.27524321504734,3.329880095262562,0.05851204342375727,5.966003715057807,0.1062800858310581,-0.1778453811143617,-0.2570415248853412
C23,16,16,0,-0.5794490690727107,4.243679800299331,-0.03486833176778829,6.060136818615169,-0.9665346852344868,-0.04688756342524272,-0.1962104409735118
C23,17,17,0,-0.4221239908443024,4.492905046810959,0.02202671583836078,6.016169158098424,-0.1469763708962432,-0.1498041665616338,-0.1013264842575831
C23,18,18,0,-0.3631462052687016,4.139067225060422,-0.0528561463429837,6.713453703591003,0.3129980054941501,-0.1268805872084191,0.4307857160406285
C23,19,19,0,-0.1884093669834199,3.739567017740149,-0.0389626378001461,6.256591025411561,-0.1448275217087154,-0.08309673722779731,-0.05239835751310238
C23,20,20,0,-0.2866714965125591,3.722127852460898,-0.04939033052212335,6.127303265705369,0.488666254670492,-0.1576809682688498,-0.2818533721270547
C23,21,21,0,-0.4445655792176482,3.962345030099601,-0.1035796919731224,6.141851406639002,-0.4334798678896933,-0.1986406608797752,0.4351143136913062
C23,22,22,0,-0.6538955418072339,3.939842349920578,-0.1100302270601463,6.572087264834787,-0.4659789663816988,-0.153930825996298,0.4580016836730529
C23,23,23,1,0.06739833510476655,0.9843677065021518,-0.03819896311223939,0.9066080106933416,0.1417659506578083,0.09686160213010357,0.04868707410880845
C23,24,24,1,0.2238108400725428,0.9420398114775643,0.03047507117325255,0.8468692589654533,0.05876819903305223,0.1203399343794045,0.05907458629261549
C23,25,25,1,0.1758513924145313,0.9494937103083075,0.009567411918410125,0.8951385442271897,0.08424544516053371,0.1081367712559371,0.04634215722433631
C23,26,26,1,0.192192382514752,0.9837253298231048,0.02605793103752586,0.9248909052754193,0.09293675024870393,0.08271428068228369,0.07182097827910061
C23,27,27,1,0.1735549281186585,0.8895377234179236,-0.04549182093829006,0.8420636882505689,0.1454927947572515,0.03501716294319854,0.09860323656395517
C23,28,28,1,0.1822987721557924,0.9793391047612141,0.076900262526885,0.8801630458424518,0.07845476682085673,0.03226698249934428,0.05971100510609939
C23,29,29,1,0.09838684199290597,0.9295743565008087,-0.03654087916179763,0.942231350530512,0.0774135728058846,0.1296191421349105,-0.01209199137426623
C23,30,30,1,0.1441466074375951,0.9621350066742865,-0.07228021411011303,0.8442749438633053,0.1186476237386482,0.1129271715754158,-0.0006440451321335014
C23,31,31,1,0.1616469400609988,0.992071654584752,-0.01161173261077726,0.965372745859377,0.09358977901958532,0.1244999329422546,0.04859891187548288
C23,32,32,1,0.135067397775389,0.9607617687451164,0.04336450630815919,0.8556274848346456,0.1128935765865047,0.03239294034823147,0.04262856298171789
C23,33,33,1,0.1594177445042278,1.013827122083649,-0.05937157970077174,0.9401557101838325,0.05363302791336819,0.1023374506096872,-0.02325879756877442
